hand,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,correctResp,userResp,RT,evaluation,setLevel,subjectID,age,date,experiment_type,
"[<set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4ca0>]",0,0,0,15,1,False,True,2.8475965409888886,incorrect,,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4e20>]",0,1,1,4,1,False,Missed,,omission,,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4cd0>]",0,2,2,33,1,True,False,2.616886841948144,incorrect,1,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4e20>]",0,3,3,11,1,False,True,3.628292337001767,incorrect,,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4ca0>]",0,4,4,48,1,True,True,3.957257101952564,correct,1,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4cd0>]",0,5,5,31,1,True,True,2.3694352849852294,correct,1,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4cd0>]",0,6,6,43,1,True,True,1.487874725018628,correct,0,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4cd0>]",0,7,7,30,1,True,True,2.0152040360262617,correct,1,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4ca0>]",0,8,8,2,1,False,False,2.5790210220147856,correct,,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4ca0>]",0,9,9,34,1,False,False,1.5501965209841728,correct,,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4ca0>]",0,10,10,21,1,True,True,1.4573742790380493,correct,0,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4cd0>]",0,11,11,18,1,False,False,1.5258433959679678,correct,,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4e20>]",0,12,12,46,1,False,False,1.4401492240140215,correct,,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4cd0>]",0,13,13,0,1,False,False,1.9304680289933458,correct,,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4ca0>]",0,14,14,47,1,False,False,1.889724278007634,correct,,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4cd0>]",0,15,15,40,1,True,True,0.9416322089964524,correct,0,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4e20>]",0,16,16,26,1,False,False,0.8474030650104396,correct,,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4ca0>]",0,17,17,20,1,True,True,0.9517435530433431,correct,0,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4cd0>]",0,18,18,12,1,True,True,2.291978546010796,correct,1,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4cd0>]",0,19,19,9,1,True,True,1.229601981001906,correct,1,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4e20>]",0,20,20,1,1,True,True,1.0393314810353331,correct,0,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4ca0>]",0,21,21,6,1,False,False,0.9003586629987694,correct,,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4e20>, <set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4cd0>]",0,22,22,49,1,True,True,1.0411458479939029,correct,1,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4e20>]",0,23,23,35,1,False,False,0.7872837610193528,correct,,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4cd0>]",0,24,24,3,1,True,True,0.7895767540321685,correct,0,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4ca0>, <set_utils.cards.Card object at 0x13c9e4e20>]",0,25,25,36,1,True,True,0.928032103984151,correct,1,ABG,38,2023-07-07_13h16.30.769,Standard,
"[<set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4cd0>, <set_utils.cards.Card object at 0x13c9e4ca0>]",0,26,26,41,1,False,False,0.8663757109898143,correct,,ABG,38,2023-07-07_13h16.30.769,Standard,
