hand,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,correctResp,setLevel,userResp,RT,evaluation,subjectID,age,date,experiment_type,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b80>]",0,0,0,34,1,True,1,False,9.487469790969044,incorrect,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,1,1,9,1,True,0,True,4.125624362146482,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b50>]",0,2,2,26,1,False,,False,2.596676249988377,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,3,3,17,1,True,0,True,3.722992273978889,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,4,4,33,1,False,,False,2.8713206951506436,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b50>]",0,5,5,7,1,False,,False,1.545716281980276,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7cd0>]",0,6,6,30,1,True,1,True,2.7736396791879088,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b80>]",0,7,7,4,1,False,,False,2.648568960139528,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b80>]",0,8,8,11,1,False,,False,0.9473684490658343,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b50>]",0,9,9,0,1,False,,False,1.1701440080069005,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b80>]",0,10,10,42,1,False,,False,1.5677159631159157,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b50>]",0,11,11,22,1,False,,False,1.1896695420145988,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b80>]",0,12,12,46,1,True,0,True,0.787938182009384,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b80>]",0,13,13,40,1,False,,False,0.9356258879415691,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7b50>, <set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>]",0,14,14,8,1,True,1,True,1.975393985863775,correct,JW,24,2023-07-27_12h39.32.055,Standard,
"[<set_utils.cards.Card object at 0x139cd7cd0>, <set_utils.cards.Card object at 0x139cd7b80>, <set_utils.cards.Card object at 0x139cd7b50>]",0,15,15,47,1,True,1,True,1.2714453290682286,correct,JW,24,2023-07-27_12h39.32.055,Standard,
