hand,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,correctResp,userResp,RT,evaluation,setLevel,subjectID,age,date,experiment_type,
"[<set_utils.cards.Card object at 0x142cc6b80>, <set_utils.cards.Card object at 0x142cc6b80>, <set_utils.cards.Card object at 0x142cc6d00>]",0,0,0,23,1,False,False,1.7533393420744687,correct,,am,22,2023-07-25_13h32.39.614,Standard,
"[<set_utils.cards.Card object at 0x142cc6b80>, <set_utils.cards.Card object at 0x142cc6b80>, <set_utils.cards.Card object at 0x142cc6d00>]",0,1,1,12,1,False,False,1.7113141538575292,correct,,am,22,2023-07-25_13h32.39.614,Standard,
"[<set_utils.cards.Card object at 0x142cc6b80>, <set_utils.cards.Card object at 0x142cc6b80>, <set_utils.cards.Card object at 0x142cc6b80>]",0,2,2,34,1,True,True,1.3087083869613707,correct,0,am,22,2023-07-25_13h32.39.614,Standard,
"[<set_utils.cards.Card object at 0x142cc6d00>, <set_utils.cards.Card object at 0x142cc6b80>, <set_utils.cards.Card object at 0x142cc6bb0>]",0,3,3,28,1,True,False,4.393306753132492,incorrect,1,am,22,2023-07-25_13h32.39.614,Standard,
"[<set_utils.cards.Card object at 0x142cc6bb0>, <set_utils.cards.Card object at 0x142cc6b80>, <set_utils.cards.Card object at 0x142cc6bb0>]",0,4,4,17,1,False,True,1.1462363360915333,incorrect,,am,22,2023-07-25_13h32.39.614,Standard,
"[<set_utils.cards.Card object at 0x142cc6b80>, <set_utils.cards.Card object at 0x142cc6d00>, <set_utils.cards.Card object at 0x142cc6bb0>]",0,5,5,27,1,True,True,1.927666018018499,correct,1,am,22,2023-07-25_13h32.39.614,Standard,
"[<set_utils.cards.Card object at 0x142cc6d00>, <set_utils.cards.Card object at 0x142cc6d00>, <set_utils.cards.Card object at 0x142cc6b80>]",0,6,6,5,1,False,False,1.3090410500299186,correct,,am,22,2023-07-25_13h32.39.614,Standard,
"[<set_utils.cards.Card object at 0x142cc6bb0>, <set_utils.cards.Card object at 0x142cc6d00>, <set_utils.cards.Card object at 0x142cc6d00>]",0,7,7,45,1,False,True,3.5917398820165545,incorrect,,am,22,2023-07-25_13h32.39.614,Standard,
"[<set_utils.cards.Card object at 0x142cc6bb0>, <set_utils.cards.Card object at 0x142cc6d00>, <set_utils.cards.Card object at 0x142cc6d00>]",0,8,8,25,1,False,False,3.302269090898335,correct,,am,22,2023-07-25_13h32.39.614,Standard,
"[<set_utils.cards.Card object at 0x142cc6d00>, <set_utils.cards.Card object at 0x142cc6b80>, <set_utils.cards.Card object at 0x142cc6bb0>]",0,9,9,6,1,True,True,1.047559519065544,correct,1,am,22,2023-07-25_13h32.39.614,Standard,
