hand,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,correctResp,setLevel,userResp,RT,evaluation,subjectID,age,date,experiment_type,
"[<set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbdf0>]",0,0,0,3,1,True,1,False,3.577115722000599,incorrect,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbc70>]",0,1,1,23,1,True,0,True,1.8374085808172822,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbca0>]",0,2,2,29,1,True,1,False,1.9954946106299758,incorrect,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbc70>]",0,3,3,37,1,True,1,False,2.6688898783177137,incorrect,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbca0>]",0,4,4,36,1,True,1,True,1.447940138168633,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>]",0,5,5,38,1,True,1,True,2.7644808664917946,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbdf0>]",0,6,6,33,1,False,,True,1.807460879907012,incorrect,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>]",0,7,7,28,1,False,,False,1.4246100513264537,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbca0>]",0,8,8,10,1,True,1,False,1.2794358413666487,incorrect,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbdf0>]",0,9,9,16,1,False,,False,1.4851584443822503,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>]",0,10,10,4,1,True,1,True,1.7330719074234366,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbc70>]",0,11,11,43,1,False,,False,1.0766770346090198,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>]",0,12,12,34,1,True,1,True,1.9813035456463695,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbca0>]",0,13,13,45,1,False,,False,1.1696147192269564,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>]",0,14,14,49,1,False,,False,2.7721019154414535,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbc70>]",0,15,15,21,1,True,0,False,1.137923956848681,incorrect,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbca0>]",0,16,16,32,1,False,,False,1.2617996027693152,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>]",0,17,17,17,1,True,1,True,1.5543073881417513,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbdf0>]",0,18,18,40,1,False,,False,1.309709989465773,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbc70>]",0,19,19,39,1,False,,False,1.1468835044652224,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbdf0>]",0,20,20,12,1,False,,False,1.0527484295889735,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbdf0>]",0,21,21,20,1,True,1,True,1.2393924063071609,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbca0>]",0,22,22,6,1,False,,False,1.0273024244233966,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbca0>]",0,23,23,7,1,True,0,True,1.733351512812078,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbca0>]",0,24,24,25,1,False,,False,1.1171310609206557,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbca0>]",0,25,25,15,1,False,,False,1.3148906687274575,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbca0>]",0,26,26,42,1,False,,False,0.9892518632113934,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbdf0>]",0,27,27,0,1,False,,True,0.8970362730324268,incorrect,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbc70>]",0,28,28,44,1,False,,False,1.1491532484069467,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbca0>]",0,29,29,46,1,True,1,False,1.2715434096753597,incorrect,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbca0>]",0,30,30,8,1,True,1,True,0.9855795884504914,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbca0>]",0,31,31,30,1,False,,False,1.1918951319530606,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbca0>]",0,32,32,22,1,True,1,True,1.0850436994805932,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbca0>]",0,33,33,1,1,True,1,True,1.7709446474909782,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbdf0>]",0,34,34,35,1,False,,False,0.972312806174159,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbdf0>]",0,35,35,41,1,True,1,True,1.3730468954890966,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>]",0,36,36,47,1,True,1,True,1.303920404985547,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbca0>]",0,37,37,5,1,False,,False,1.186004862189293,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbca0>]",0,38,38,26,1,True,1,True,1.4787385500967503,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbca0>]",0,39,39,2,1,True,1,True,1.4060700023546815,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbca0>]",0,40,40,11,1,True,1,True,1.225392577238381,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbca0>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbdf0>]",0,41,41,19,1,False,,False,1.2178460117429495,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbca0>]",0,42,42,14,1,True,1,True,1.3975338051095605,correct,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>]",0,43,43,48,1,False,,True,0.9094097604975104,incorrect,sub,50,2023-05-02_18h34.48.781,Standard,
"[<set_utils.cards.Card object at 0x1481fbc70>, <set_utils.cards.Card object at 0x1481fbdf0>, <set_utils.cards.Card object at 0x1481fbc70>]",0,44,44,9,1,False,,False,0.9874090608209372,correct,sub,50,2023-05-02_18h34.48.781,Standard,
