hand,.thisRepN,.thisTrialN,.thisN,.thisIndex,block,correctResp,userResp,RT,evaluation,setLevel,subjectID,age,date,experiment_type,
"[<set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447fac70>, <set_utils.cards.Card object at 0x1447fac70>]",0,0,0,13,1,False,True,3.5353438039310277,incorrect,,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fac70>, <set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447fab20>]",0,1,1,15,1,True,True,4.782869711052626,correct,1,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fab20>, <set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447fac70>]",0,2,2,3,1,True,True,1.758834462845698,correct,1,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fab20>, <set_utils.cards.Card object at 0x1447fab20>, <set_utils.cards.Card object at 0x1447fac70>]",0,3,3,29,1,False,True,1.3391895489767194,incorrect,,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447faaf0>]",0,4,4,31,1,True,True,1.4878342801239341,correct,0,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447fac70>, <set_utils.cards.Card object at 0x1447faaf0>]",0,5,5,46,1,False,False,2.8511798020917922,correct,,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447fac70>]",0,6,6,48,1,False,False,0.9015940797980875,correct,,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fac70>, <set_utils.cards.Card object at 0x1447fac70>, <set_utils.cards.Card object at 0x1447fac70>]",0,7,7,37,1,True,True,0.984410285949707,correct,0,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fac70>, <set_utils.cards.Card object at 0x1447fac70>, <set_utils.cards.Card object at 0x1447fac70>]",0,8,8,43,1,True,True,1.0299598309211433,correct,0,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fab20>, <set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447fab20>]",0,9,9,17,1,False,False,1.1987736520823091,correct,,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447fac70>]",0,10,10,23,1,False,False,1.1557598521467298,correct,,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fab20>, <set_utils.cards.Card object at 0x1447fab20>, <set_utils.cards.Card object at 0x1447fac70>]",0,11,11,0,1,False,False,2.0550028530415148,correct,,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fab20>, <set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447fac70>]",0,12,12,25,1,True,True,1.346480217995122,correct,1,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fab20>, <set_utils.cards.Card object at 0x1447fab20>, <set_utils.cards.Card object at 0x1447faaf0>]",0,13,13,1,1,False,False,1.4455276657827199,correct,,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447faaf0>]",0,14,14,27,1,True,True,0.7411856839898974,correct,0,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fab20>, <set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447fab20>]",0,15,15,47,1,False,False,1.0358145029749721,correct,,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fab20>, <set_utils.cards.Card object at 0x1447fac70>, <set_utils.cards.Card object at 0x1447faaf0>]",0,16,16,11,1,True,True,1.0955284738447517,correct,1,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447faaf0>]",0,17,17,33,1,True,True,0.9552164431661367,correct,0,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fac70>, <set_utils.cards.Card object at 0x1447fab20>, <set_utils.cards.Card object at 0x1447faaf0>]",0,18,18,20,1,True,False,1.2269995629321784,incorrect,1,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fac70>, <set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447faaf0>]",0,19,19,4,1,False,False,1.0995614000130445,correct,,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fab20>, <set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447fab20>]",0,20,20,32,1,False,False,1.0410875140223652,correct,,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447fac70>, <set_utils.cards.Card object at 0x1447fac70>, <set_utils.cards.Card object at 0x1447faaf0>]",0,21,21,14,1,False,False,1.924452592851594,correct,,sub,26VF,2023-07-25_13h42.25.244,Standard,
"[<set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447faaf0>, <set_utils.cards.Card object at 0x1447faaf0>]",0,22,22,34,1,True,True,0.8523165169171989,correct,0,sub,26VF,2023-07-25_13h42.25.244,Standard,
